title,views,date_time,likes,video_link,description
Automatic Summarization using Deep Learning | Abstractive Summarization with Pegasus,35K views,2 years ago,984,https://www.youtube.com/watch?v=Yo5Hw8aV3vY,"So you're tired of reading Emma too?

Pegasus is here to help. The Pegasus model is built using a Transformer Encoder-Decoder architecture and is ridiculously powerful w"
Rip out Drug Labels using Deep Learning with PaddleOCR & Python,32K views,2 years ago,774,https://www.youtube.com/watch?v=t5xwQguk9XU,"Want to learn how to apply optical character recognition?

In this video you'll be able to leverage it to extract prescription medication labels using PaddleOCR. This has a range of applications a"
The END for developers? First look at OpenAI Codex + Python Tutorial,32K views,2 years ago,708,https://www.youtube.com/watch?v=3uhP6xDfx3o,"Sup team!

Today we're taking a look at OpenAI Codex. "
Python for Data Science | Beginner Friendly Full Course in 5 Hours,48K views,2 years ago,1.7K,https://www.youtube.com/watch?v=yGN28LY5VuA,"Starting your data science journey?

Just dipping your toe into Machine Learning?"
Build a Deep Learning Selfie Segmentation Web App using Gradio,8.4K views,2 years ago,280,https://www.youtube.com/watch?v=jq5QfwDkBGs,"Build your own selfie segmentation model using Mediapipe, Gradio and Python. 

The selfie segmentation model allows you to quickly and easily strip out the background from photos using a prebuilt machine learni"
Master ML Papers without Losing Your Sh*t,22K views,2 years ago,1.1K,https://www.youtube.com/watch?v=JuG6ZcNe_3Q,"Tired of struggling your way through Machine Learning research papers?

Latest deep learning models got you feeling down?"
Build a Simple Language Translation App using Python for Beginners,24K views,2 years ago,654,https://www.youtube.com/watch?v=feA-H6blwr4,"Want to build your very own language translation app?

Well in this video you can using Hugging Face Transformers!"
"Deep Drowsiness Detection using YOLO, Pytorch and Python",204K views,2 years ago,4.3K,https://www.youtube.com/watch?v=tFNJGim3FXw,"Want to leverage YOLO object detection for safety?

One great implementation is using it to determine when drivers might be feeling a little drowsy. In this video we’re going to do exactly"
Pose Estimation with the Fastest Python Deep Learning Model | MoveNet Lightning,50K views,2 years ago,1.1K,https://www.youtube.com/watch?v=SSW9LzOJSus,"MoveNet Lightning is hella fast and great for fitness applications. In this vid, you'll learn how to use it!

In this video you'll learn how to: "
Build a ML Classification Model in 12 Lines with PyCaret,17K views,2 years ago,603,https://www.youtube.com/watch?v=sL-4rWuEiVw,"Want to get started with low-code machine learning FAST?

Well PyCaret is the library for you, it allows you to leverage state of the art ml pipeline to build your machine learning models. You can"
Build a Grammar Correction Python App with Gramformer and Gradio,17K views,2 years ago,564,https://www.youtube.com/watch?v=4htP-hmIBvc,"My grammar sucks at the best of times. 

Enter Gramformer."
Sign Language Detection using ACTION RECOGNITION with Python | LSTM Deep Learning Model,325K views,2 years ago,6.4K,https://www.youtube.com/watch?v=doDUihpj6ro,"Want to take your sign language model a little further?

In this video, you'll learn how to leverage action detection to do so!"
Machine Learning Explainability & Bias Detection with Watson OpenScale,4.6K views,2 years ago,179,https://www.youtube.com/watch?v=wJsUY7IxsvU,"So you've built a model.

It's deployed. "
Exploratory Data Analysis with the Binance API using Python and Pandas | MLTrader EP1,43K views,2 years ago,1.4K,https://www.youtube.com/watch?v=4aqx5P2Y38U,"Want to start your own crypto analysis?

Keen to apply a little Python or Data Science to your finances?"
Reinforcement Learning in 3 Hours | Full Course using Python,356K views,2 years ago,8.1K,https://www.youtube.com/watch?v=Mut_u40Sqz4,"Want to get started with Reinforcement Learning?

This is the course for you!"
Sentiment Analysis with BERT Neural Network and Python,91K views,2 years ago,2.5K,https://www.youtube.com/watch?v=szczpgOEdXs,"Want to leverage advanced NLP to calculate sentiment?

Can't be bothered building a model from scratch?"
How to Break Into Data Science and Machine Learning and Land your DREAM JOB!,4.3K views,2 years ago,294,https://www.youtube.com/watch?v=xSElsMUqFqI,"Want to work into Machine Learning?

Ready to become a Data Scientist but not sure how?"
Instance Segmentation using Mask-RCNN with PixelLib and Python,33K views,2 years ago,834,https://www.youtube.com/watch?v=i_-ud01wFhc,"Mastered image classification?

Pushed the boundaries of object detection?"
The ONE weird technique I used to learn DATA SCIENCE in 3 months,17K views,2 years ago,983,https://www.youtube.com/watch?v=cCmGg_Pn9K8,"So about three years ago I set out to become a data scientist. I struggled learning and remembering all the stuff out there that I needed to know. I did course after course, tutorial after tutorial and nothing ever really stuck. 
"
Body Segmentation with Python and Tensorflow BodyPix | Plus and AI Background Removal,11K views,2 years ago,258,https://www.youtube.com/watch?v=0tB6jG55mig,"Want to strip out your background using nothing but a webcam and AI?

Don’t have a green screen but still want a virtual background?"
AI Powered Iris Tracking with WebGazer.Js,28K views,2 years ago,641,https://www.youtube.com/watch?v=Wh77ZGdIaZQ,"Want to get started with Iris Tracking?

Interested in human computer interaction?"
Automatic Number Plate Recognition using Tensorflow and EasyOCR Full Course in 2 Hours | Python,268K views,2 years ago,4.9K,https://www.youtube.com/watch?v=0-4p_QgrdbE,"Want to be able to perform number plate recognition in real time?

Well in this course you'll learn how to do exactly that!"
AI Text and Code Generation with GPT Neo and Python | GPT3 Clone,69K views,2 years ago,1.9K,https://www.youtube.com/watch?v=6MI0f6YjJIk,"Want to get your hands on GPT3 but cbbd waiting for access?

Need to kick off some AI powered text gen ASAP?"
AI Hand Pose Estimation with MediaPipe | Detect Left and Right Hand + Calculate Angles,32K views,2 years ago,607,https://www.youtube.com/watch?v=EgjwKM3KzGU,"Want to do more with MediaPipe hand pose?

Well you can!"
AI Hand Pose Estimation with MediaPipe and Python,59K views,2 years ago,1.3K,https://www.youtube.com/watch?v=vQZ4IvB07ec,"Short and simple hand detection and tracking using MediaPipe. I wanted to write more for this description but I'm hella tired. I'm not actually sure anyone actually reads these anyway. Anyway, here's some keywords for the algorithm; AI, Machine Learning, Synergy, Efficiency, Python, Super Fast Amazing Biggest Tutorial ever. "
AI Body Language Decoder with MediaPipe and Python in 90 Minutes,68K views,2 years ago,1.8K,https://www.youtube.com/watch?v=We1uB79Ci-w,"Want to start decoding body language?

Need to see who’s really saying what in that interview?"
AI Pose Estimation with Python and MediaPipe | Plus AI Gym Tracker Project,168K views,2 years ago,3.9K,https://www.youtube.com/watch?v=06TE_U21FK4,"Tired of stacking reps at the gym?

Been lifting heavy and just can't seem to lift that pen? (actually lol'd)"
Tensorflow Object Detection in 5 Hours with Python | Full Course with 3 Projects,1.2M views,2 years ago,31K,https://www.youtube.com/watch?v=yqkISICHH-U,"Want to get up to speed on AI powered Object Detection but not sure where to start?

Want to start building your own deep learning Object Detection models?"
AI Face Body and Hand Pose Detection with Python and Mediapipe,124K views,2 years ago,3.3K,https://www.youtube.com/watch?v=pG4sUNDOZFg,"Want to start building body pose based apps?

Maybe want to control your screen using nothing but gestures!"
Live Speech to Text with Watson Speech to Text and Python | FREE Speech to Text API,49K views,2 years ago,1.1K,https://www.youtube.com/watch?v=YCyuZM454_I,"Want to skip out on copying down lecture notes?

Maybe you want a live transcript from a meeting?"
Automate Stocks and Crypto Research with Python and Deep Learning | Full Python Project,17K views,2 years ago,720,https://www.youtube.com/watch?v=YbKnsJQKazA,"Tired of trying to monitor the stock or crypto markets?

Not sure where to turn to get your new trading ideas?"
Custom Indicators for Reinforcement Learning Trading Tutorial | $GME Python Trading PT2,36K views,2 years ago,964,https://www.youtube.com/watch?v=q-Uw9gC3D4o,"So you watched the first tutorial....

Performance for our GME RL Bot was...meh"
Reinforcement Learning for Trading Tutorial | $GME RL Python Trading,112K views,2 years ago,2.6K,https://www.youtube.com/watch?v=D9sU1hLT0QY,"Heard about RL?

What about $GME?"
Python Reinforcement Learning Tutorial for Beginners in 25 Minutes,48K views,2 years ago,1K,https://www.youtube.com/watch?v=nRHjymV2PX8,"Want to break into Reinforcement Learning with Python?

Just not too sure where or how to start?"
How to Learn DATA SCIENCE Ridiculously FAST,51K views,2 years ago,3K,https://www.youtube.com/watch?v=oLpBGtY-_sI,"Want to learn data science?

But not too sure where to start?"
Calculating Tensorflow Object Detection Metrics with Python | Mean Average  Precision (mAP) & Recall,26K views,2 years ago,461,https://www.youtube.com/watch?v=-HbCA0WGbBg,"Finished building your object detection model?

Want to see how it stacks up against benchmarks?"
5 FREE Machine Learning and Data Science Datasets for Your Next Experiment,2K views,2 years ago,122,https://www.youtube.com/watch?v=aJQAeMswAvg,"Finding data for a data science project can be hard...

WHAT?!"
Generate Blog Posts with GPT2 & Hugging Face Transformers | AI Text Generation GPT2-Large,29K views,2 years ago,931,https://www.youtube.com/watch?v=cHymMt1SQn8,"Writing blog posts and emails can be tough at the best of times.

TBH, some days just writing anything can be a struggle"
